total_timesteps,approxkl,ep_len_mean,clipfrac,ep_reward_mean,time_elapsed,policy_entropy,value_loss,serial_timesteps,true_reward,n_updates,fps,explained_variance,policy_loss,fps1
960000,0.00067888957,217.8,0.00021333333,-27.366353776454925,135.80358624458313,4.1995425,43.54331,9600,-0.2559037,32,6759,4.017353057861328e-05,-0.00059568894,29918
990000,0.0013687082,236.04,0.0028766666,-28.220140008553862,140.25019669532776,4.1997123,33.899323,9900,-0.22501472,33,7384,4.5299530029296875e-06,0.0002206203,44526
1020000,0.00016383,218.85,0.0,-26.646012015864255,144.3197340965271,4.199706,35.6607,10200,-0.24221984,34,7077,7.784366607666016e-05,-8.341294e-06,43618
1050000,0.0074089416,220.49,0.10963,-29.117011996880173,148.5657777786255,4.19905,38.915886,10500,-0.25223193,35,6926,4.8160552978515625e-05,0.00088604336,43501
1080000,0.0055271746,232.21,0.071836665,-34.15245128266513,152.9037570953369,4.198531,35.872185,10800,-0.25361586,36,7208,4.76837158203125e-05,-0.0007359608,44454
1110000,0.00014236887,272.37,0.0,-36.423258187361064,157.0727198123932,4.197829,22.3567,11100,-0.18713787,37,7241,-5.161762237548828e-05,3.948731e-05,43846
1140000,0.0004974355,270.41,4.6666668e-05,-36.18467439819128,161.22233510017395,4.1963596,18.460054,11400,-0.18432738,38,7183,-9.417533874511719e-05,-0.00035725842,45851
1170000,0.0002924398,258.72,0.0,-34.0381052801013,165.4052755832672,4.194191,26.237274,11700,-0.20306884,39,7449,-3.8504600524902344e-05,0.00018486056,42715
1200000,8.016266e-05,258.75,0.0,-33.568410216122864,169.43953037261963,4.191578,31.48179,12000,-0.2107773,40,7416,-3.898143768310547e-05,-6.7623805e-05,43780
1230000,0.00019744496,276.6,0.0,-36.71438302770257,173.49157452583313,4.1902413,24.066341,12300,-0.18885973,41,7116,-4.8995018005371094e-05,-0.000109618806,43466
1260000,0.00097274047,281.32,0.0022800001,-39.47701627835632,177.71355152130127,4.1875606,17.015045,12600,-0.1801014,42,7255,-5.602836608886719e-05,-0.00070416334,44339
1290000,0.0005780164,242.98,0.0,-33.432044146582484,181.8546380996704,4.185012,20.673338,12900,-0.21283805,43,7353,-7.081031799316406e-05,0.0005708308,43966
1320000,0.0007382672,217.5,0.00026666667,-28.52395420201123,185.94182419776917,4.183432,37.533752,13200,-0.25227234,44,7317,1.9669532775878906e-05,-0.0006458975,43972
1350000,0.00058960024,261.0,8.0000005e-05,-32.518464990705255,190.04886412620544,4.181487,26.860691,13500,-0.19522886,45,7036,-6.365776062011719e-05,-0.00018491718,44145
1380000,0.00038732417,255.64,0.0,-32.106922740004954,194.31915926933289,4.1783895,25.235727,13800,-0.20234421,46,7208,-9.310245513916016e-05,-0.00010023222,44872
1410000,0.0007877168,249.59,0.00039,-32.745077939480545,198.48801612854004,4.17556,39.11499,14100,-0.23026921,47,7146,-1.4901161193847656e-05,-0.00038989034,45127
1440000,0.0019401442,282.25,0.01199,-39.26757846713066,202.69310641288757,4.172929,16.314169,14400,-0.17816472,48,7196,-4.7326087951660156e-05,-0.0005075607,45536
1470000,0.00034652586,210.06,0.0,-29.4286431697011,206.86878371238708,4.1664023,34.951855,14700,-0.26844785,49,7350,4.3451786041259766e-05,0.0002686418,45768
1500000,0.0014125204,230.5,0.0066533326,-31.193111924007535,210.95798420906067,4.162962,21.921762,15000,-0.23301592,50,7284,-8.428096771240234e-05,-0.0013888798,45334
1530000,0.001199446,263.19,0.0012933334,-36.38176386035979,215.0830934047699,4.16203,27.032578,15300,-0.20460956,51,7244,-4.5180320739746094e-05,7.131114e-05,44000
1560000,0.0002629854,228.64,0.0,-29.995435385927557,219.23043060302734,4.1595945,49.71517,15600,-0.26172495,52,7218,2.580881118774414e-05,-0.00017517223,44857
1590000,0.0013431831,250.72,0.00471,-32.18788911044598,223.39299321174622,4.158038,28.170765,15900,-0.21489207,53,7385,-6.0439109802246094e-05,-0.0004959357,43800
1620000,0.00067268836,229.84,0.000120000004,-29.49757493443787,227.46269416809082,4.1581426,32.556717,16200,-0.23699005,54,7108,-5.2094459533691406e-05,-0.00018232813,45242
1650000,0.001446112,257.74,0.005693333,-35.971351623535156,231.69005489349365,4.1575603,23.597385,16500,-0.20688285,55,7150,-0.00010859966278076172,-0.00051282777,43302
1680000,0.0023364306,281.68,0.018743332,-41.66061090923846,235.89217519760132,4.156195,23.0817,16800,-0.19911009,56,7255,-5.459785461425781e-05,-0.00065561524,43459
1710000,0.0031250685,249.59,0.030903334,-32.36005282431841,240.03347253799438,4.1533747,22.919086,17100,-0.21591964,57,7155,-0.00014901161193847656,-0.00088629045,42926
1740000,0.0010217201,211.31,0.0009966666,-25.517687757909297,244.23287653923035,4.153021,32.476017,17400,-0.25456005,58,7185,-4.017353057861328e-05,-8.8657885e-05,43699
1770000,0.00317808,231.57,0.033490002,-30.81216131590307,248.41536498069763,4.1511493,25.646332,17700,-0.22751637,59,7178,-0.00010228157043457031,-0.0015004734,43710
1800000,0.007334928,282.99,0.10953333,-40.5522670082748,252.60178089141846,4.1437693,14.373639,18000,-0.18245406,60,7190,-0.00016200542449951172,-0.0011810061,42359
1830000,0.003032884,272.14,0.021569999,-35.665708104223015,256.78076338768005,4.132588,17.68164,18300,-0.18598433,61,6915,-0.00015652179718017578,4.710831e-05,35208
1860000,0.00017372935,252.33,0.0,-31.51951398484409,261.1267557144165,4.123416,27.465998,18600,-0.20687023,62,7037,-0.00011301040649414062,0.00013060568,42755
1890000,0.0043353187,264.07,0.051716667,-34.44884452044964,265.3964378833771,4.1167455,19.07147,18900,-0.18552871,63,7403,-0.00015664100646972656,-0.0004872977,46153
1920000,0.005337891,228.9,0.069963336,-31.247324036583304,269.45524311065674,4.110679,32.406643,19200,-0.24300982,64,7268,-4.124641418457031e-05,-0.001812313,45117
1950000,0.0010522464,241.6,0.0036499999,-30.112735511884093,273.5894544124603,4.1069365,25.369148,19500,-0.21796891,65,7157,-0.00012862682342529297,-0.0005074975,43686
1980000,0.0034168265,279.91,0.03368,-36.909142699614165,277.7875189781189,4.1053233,14.262392,19800,-0.16952549,66,7292,-0.0001938343048095703,-0.00033487877,42532
2010000,0.001064081,225.38,0.0029366668,-30.811419333815575,281.9080913066864,4.105315,27.662334,20100,-0.25143623,67,7246,-7.975101470947266e-05,-0.0010279467,44191
2040000,0.0043855244,250.82,0.052763335,-31.563620803020896,286.0555946826935,4.1028414,26.868982,20400,-0.2149701,68,6663,-0.0001195669174194336,-0.00096046214,27471
2070000,0.003596482,236.55,0.041116666,-31.46178499750793,290.5653576850891,4.0969234,23.877085,20700,-0.22054309,69,7129,-0.00016987323760986328,-0.0011662383,43884
2100000,0.0027514193,285.26,0.025956666,-40.527912864238026,294.78058981895447,4.092252,16.768785,21000,-0.17952529,70,7289,-0.00013959407806396484,-0.0004290216,44179
2130000,0.004008268,255.21,0.04666,-31.656570852175356,298.9040729999542,4.0879903,23.296154,21300,-0.20146753,71,7099,-0.00016367435455322266,-0.00058145844,43162
2160000,0.0024634365,248.86,0.014306666,-32.153134950101375,303.13686752319336,4.0794153,29.972591,21600,-0.21820104,72,7131,-0.0001068115234375,6.8673326e-05,44095
2190000,0.0048397756,266.81,0.06282,-35.3254219789803,307.3502609729767,4.0750446,23.668158,21900,-0.19546318,73,7150,-0.00014352798461914062,-0.00072446937,42963
2220000,0.0039072772,250.29,0.042583335,-30.221335236206652,311.5524010658264,4.0785756,24.146664,22200,-0.20380996,74,7245,-0.00014865398406982422,-0.00042105868,44472
2250000,0.0033098147,185.02,0.031400003,-22.400903546884656,315.7000529766083,4.084016,38.50759,22500,-0.28484413,75,7008,1.7881393432617188e-05,-0.00067639316,37122
2280000,0.00028399326,208.74,0.0,-24.32945873901248,319.9884464740753,4.086114,53.434265,22800,-0.281825,76,7354,8.881092071533203e-06,-7.0665556e-07,43688
2310000,0.0018768192,231.59,0.0123333335,-28.874228153750302,324.07471442222595,4.086978,39.87667,23100,-0.25089276,77,7119,-4.875659942626953e-05,-0.0012638677,43855
2340000,0.0005087879,262.3,1.6666667e-05,-33.129880439341065,328.2957763671875,4.085696,9.079568,23400,-0.16976485,78,7294,-0.0004696846008300781,4.819529e-05,44221
2370000,0.0031956905,255.31,0.03019,-32.938011093735696,332.41539216041565,4.0837216,13.583878,23700,-0.18856484,79,7160,-0.00036644935607910156,-0.0006436422,42723
2400000,0.0012325812,214.1,0.0031233332,-23.74829320549965,336.6114513874054,4.079731,33.055946,24000,-0.24106924,80,7249,-0.0001024007797241211,-0.00040863603,43560
2430000,0.0007405148,233.41,0.00019333334,-29.24614663437009,340.7570786476135,4.0771255,40.187294,24300,-0.2553037,81,7304,-3.039836883544922e-05,-0.0001579914,43288
2460000,0.00020244687,261.4,6.6666666e-06,-33.71125566415489,344.8712055683136,4.0748014,29.287363,24600,-0.20192067,82,7262,-9.572505950927734e-05,-4.453208e-05,44679
2490000,0.0030972003,258.51,0.03406,-32.953833208084106,349.0087068080902,4.0749288,23.117626,24900,-0.19837609,83,7397,-0.00017964839935302734,-0.00048413398,44914
2520000,0.002585453,249.04,0.023023333,-30.18644743554294,353.0708532333374,4.067266,23.303814,25200,-0.20150341,84,7118,-0.0001811981201171875,-0.00027461024,44823
2550000,0.0025231491,235.03,0.014636666,-28.81954300865531,357.29179978370667,4.0530453,30.492657,25500,-0.23217504,85,7247,-0.0001461505889892578,-0.00035319285,44282
2580000,0.0025280467,223.35,0.017253334,-26.451883581876753,361.4379527568817,4.044726,40.45536,25800,-0.25072524,86,7309,-5.257129669189453e-05,-0.00019433751,42782
2610000,0.0015346851,208.95,0.007876666,-27.047683748826383,365.5491178035736,4.0413284,35.463806,26100,-0.2660712,87,7266,-4.0650367736816406e-05,-0.0013542268,42533
2640000,0.004005636,255.87,0.04522667,-34.09676536932588,369.6852207183838,4.038293,15.285459,26400,-0.19481927,88,7288,-0.0002886056900024414,-0.00053701334,43326
2670000,0.001501836,210.86,0.0076200003,-26.969486252069473,373.8090109825134,4.035031,30.466272,26700,-0.25560054,89,7285,-0.0001062154769897461,-0.001121011,44352
2700000,0.0027888094,271.99,0.023946667,-35.31992237865925,377.93431639671326,4.0328746,17.381832,27000,-0.17955051,90,7111,-0.00018155574798583984,-0.00064764847,44148
2730000,0.000106605854,201.35,0.0,-26.485137777626516,382.15988302230835,4.031207,34.278675,27300,-0.27130696,91,7170,-4.410743713378906e-05,-0.00014382764,44507
2760000,0.005406264,243.5,0.07277667,-31.24639385767281,386.3517732620239,4.031708,25.160788,27600,-0.21920101,92,7214,-0.0001653432846069336,-0.00082123047,43589
2790000,0.0044446355,274.28,0.052100003,-35.51731331922114,390.5191490650177,4.0334754,18.01537,27900,-0.18241721,93,7150,-0.00021219253540039062,-0.00034174,42442
2820000,0.0004959947,188.44,0.00010666667,-23.908106882199647,394.72077775001526,4.033564,36.531334,28200,-0.2937446,94,6971,3.159046173095703e-05,-0.00072874204,44748
2850000,0.0057608285,244.09,0.080513336,-29.506589649245143,399.031720161438,4.0328703,19.021664,28500,-0.20219879,95,7108,-0.0003083944320678711,-0.0012028508,44568
2880000,0.0048501426,250.23,0.059603333,-29.999275932088494,403.25968766212463,4.031387,23.264767,28800,-0.20860033,96,7291,-0.00023376941680908203,-0.0007143286,44388
2910000,0.0030249907,241.76,0.026356667,-30.963870092853902,407.3814504146576,4.027621,32.19465,29100,-0.22362216,97,7228,-7.402896881103516e-05,-0.00024139162,42495
2940000,0.0010038519,280.15,0.00238,-38.2402007329464,411.5398323535919,4.023142,10.698507,29400,-0.1732413,98,7258,-0.0002955198287963867,-0.00061367627,43594
2970000,0.001997883,241.27,0.017063333,-28.905536709576847,415.6794900894165,4.019037,24.353216,29700,-0.2148941,99,7242,-0.00019598007202148438,-0.00048202797,42943
3000000,0.0048564556,249.33,0.06661,-32.24640162594616,419.82949781417847,4.0118017,19.694649,30000,-0.20742993,100,7305,-0.00025260448455810547,-0.0008565901,43931
3030000,0.0072463425,246.52,0.105686665,-33.41697666008025,423.9554204940796,4.00452,27.460165,30300,-0.22253129,101,7016,-0.0001100301742553711,-0.0014481992,37031
3060000,0.005465327,238.84,0.06849667,-30.67296315819025,428.2380094528198,3.9994004,25.559357,30600,-0.22295533,102,7312,-0.00019347667694091797,-0.0008909977,44505
3090000,0.0026218228,260.55,0.016449999,-34.5814058098197,432.34696340560913,3.9961617,19.874601,30900,-0.19583258,103,7118,-0.00021696090698242188,-2.3745295e-05,40097
3120000,0.004121355,236.22,0.04826,-29.21357015453279,436.56815361976624,3.995076,30.313349,31200,-0.22426955,104,6779,-0.00016295909881591797,-0.0007575888,30463
3150000,0.0026209927,267.5,0.01834,-36.47412825860083,441.0012366771698,3.9919956,10.138842,31500,-0.17955534,105,7364,-0.00039768218994140625,-0.000119865756,44995
3180000,0.0026994701,236.95,0.027710002,-28.369127525910734,445.0819480419159,3.9894416,28.209442,31800,-0.22722158,106,7038,-0.0002334117889404297,-0.00089573034,43391
3210000,0.0041031977,233.51,0.05096667,-27.758114921450616,449.3515954017639,3.9868844,30.777485,32100,-0.21685904,107,7260,-0.00012218952178955078,-0.0007888225,43302
3240000,0.0033546698,237.69,0.029409999,-28.510789370909333,453.4913158416748,3.980133,36.022015,32400,-0.22999829,108,7381,-0.00011467933654785156,-0.00034497926,45403
3270000,0.00092169165,253.54,0.0003533333,-32.44298340000212,457.56263613700867,3.9723701,28.766552,32700,-0.21421444,109,7275,-0.00016009807586669922,-0.00014994832,44405
3300000,0.0013910796,274.47,0.0043766666,-35.17746437191963,461.6936545372009,3.9653924,13.568857,33000,-0.17338903,110,7279,-0.0002516508102416992,0.000106229236,44012
3330000,0.0031452638,255.59,0.03424,-32.08083116259426,465.821350812912,3.9609742,20.0688,33300,-0.19674042,111,7204,-0.00027000904083251953,-0.0009769544,37975
3360000,0.0003217617,223.0,6.0000002e-05,-29.764092361405492,469.9919853210449,3.9578385,27.150356,33600,-0.23438868,112,7356,-0.00012826919555664062,-0.00032740162,43154
3390000,0.004154143,268.8,0.04777,-35.15414191126823,474.0778229236603,3.9549804,20.4183,33900,-0.18842384,113,7087,-0.00014674663543701172,-0.00069551775,45012
3420000,0.00082566513,235.06,0.0013733333,-28.392091305181385,478.31726717948914,3.9480329,34.690643,34200,-0.23102571,114,7162,-7.259845733642578e-05,-0.000490825,43404
3450000,0.0012387184,254.04,0.0021933333,-31.83382603302598,482.51332330703735,3.9400647,18.538233,34500,-0.18849602,115,7374,-0.00020599365234375,-0.00012138176,43621
3480000,0.00067134004,280.33,0.00047000003,-39.68999689094722,486.5881896018982,3.934414,13.790845,34800,-0.18099752,116,7405,-0.00016248226165771484,-0.00039365664,44068
3510000,0.0045984318,253.9,0.058426667,-34.54635856322944,490.6460847854614,3.9298825,19.203892,35100,-0.2113251,117,7114,-0.00020754337310791016,-0.0008573032,45524
3540000,0.0031001759,266.0,0.02783,-32.8155587220192,494.8707101345062,3.9306018,17.28756,35400,-0.17875151,118,7386,-0.0001430511474609375,-0.00051564997,44199
